Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,48,37619,30649582833.067073822021484,611,2567,1956,1543.510406975198748,369.236584956974752,58065318.000000000000000,1809,1618,611,1593
,49,33468,27267610469.632068634033203,147,4167,4020,1566.992350902354474,884.272381901562881,52444100.000000000000000,3533,832,147,1328
,50,1677,1366313575.880631685256958,786,2248,1462,1056.001192605843698,246.172203397278366,1770914.000000000000000,585,919,786,958
,51,8344,6798163671.525337219238281,410,524,114,426.955057526366261,16.336159397353676,3562513.000000000000000,97,415,410,421
,52,41856,34101622559.367748260498047,486,891,405,633.359327217125383,59.259883117509474,26509888.000000000000000,363,633,823,633
,53,587,478250488.397096455097198,717,851,134,766.792163543441234,21.576560092013651,450107.000000000000000,106,767,717,765
,54,9385,7646304656.910988807678223,601,940,339,727.076611614278136,51.238739336208383,6823614.000000000000000,258,738,602,728
,55,12686,10335750759.464336395263672,438,1130,692,546.689263755320781,92.530199712730635,6935300.000000000000000,475,452,438,521
,56,27341,22275718233.841590881347656,412,664,252,487.735086500128034,46.984335941212557,13335165.000000000000000,239,418,633,486
,57,10011,8156329879.630889892578125,555,2678,2123,946.567975227250031,310.374266081670157,9476092.000000000000000,1332,826,555,871
,58,144116,117416605427.318481445312500,389,550,161,417.605942435260488,21.485736805061052,60183698.000000000000000,162,414,538,414
,59,18526,15093813540.110065460205078,453,1447,994,721.261146496815286,166.065197824180842,13362084.000000000000000,691,506,453,735
,60,17535,14286409393.599805831909180,433,913,480,505.816880524664953,42.358155589342772,8869499.000000000000000,260,498,622,499
,61,175,142578936.063870310783386,387,400,13,390.777142857142849,3.961463345372739,68386.000000000000000,14,388,393,389
,62,4236,3451224989.523169517517090,442,514,72,466.113314447592074,17.520846945367595,1974456.000000000000000,73,451,442,460
,63,1649,1343500946.110412359237671,710,875,165,777.315949060036360,29.362670146704772,1281794.000000000000000,152,772,710,776
,64,10019,8162847773.850953102111816,407,549,142,439.627707356023564,28.066084428772616,4404630.000000000000000,121,412,514,427
,65,4135,3368936574.994878768920898,414,1045,631,482.656590084643312,72.821121147011041,1995785.000000000000000,337,426,584,460
,66,33299,27129919954.233245849609375,487,1123,636,682.160905732904894,107.876715482666171,22715276.000000000000000,618,644,965,669
,67,3373,2748107150.533912181854248,518,1233,715,796.800770827156839,128.297116295753227,2687609.000000000000000,501,865,519,822
,68,1325,1079526230.197875261306763,879,1246,367,1058.104150943396235,100.487129100423445,1401988.000000000000000,320,934,879,1079
,69,19008,15486516666.868841171264648,456,3088,2632,756.089067760942726,393.414183409707846,14371741.000000000000000,1701,484,1065,619
,70,364,296564187.012850284576416,927,1277,350,1088.557692307692378,95.185154853919201,396235.000000000000000,198,1036,927,1058
,71,6305,5136915382.186870574951172,563,1443,880,765.671371927042060,97.929156839722779,4827558.000000000000000,476,778,566,758
