Rowid_,FID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,229,30884,25162330636.551834106445313,531,3121,2590,1096.433331174718205,494.873459278615940,33862247.000000000000000,2263,676,2047,888
,230,73117,59571108961.040039062500000,54,3618,3564,1339.898395721925226,625.876368972197042,97969351.000000000000000,3175,1150,54,1316
,231,61207,49867593940.921775817871094,12,530,518,210.911350008985892,66.891029825958711,12909251.000000000000000,400,225,12,216
,232,18048,14704369360.461322784423828,496,3924,3428,1277.015181737588591,514.895075545429336,23047570.000000000000000,2350,1324,607,1267
,233,5174,4215448086.825514316558838,734,1340,606,952.468303053730210,126.576065081771915,4928071.000000000000000,459,1148,734,959
,234,458,373149444.098586320877075,852,2063,1211,1171.307860262008717,284.422127667267205,536459.000000000000000,314,915,852,1107
,235,20769,16921268132.060129165649414,629,2737,2108,985.869805960806957,296.852965589892051,20475530.000000000000000,1559,736,629,933
,236,39737,32375195327.828655242919922,897,2023,1126,1254.196441603543235,161.073813043989759,49838004.000000000000000,903,1080,897,1249
,237,134,109174728.186049282550812,1082,1432,350,1183.664179104477626,76.230203598993953,158611.000000000000000,98,1138,1082,1163
,238,43707,35609700334.534744262695313,-63,248,311,78.348639805980739,49.012817086356343,3424384.000000000000000,303,47,-63,78
,239,86982,70867434381.186111450195313,-12,2691,2703,375.415660711411533,273.363148055312763,32654405.000000000000000,1830,8,-12,365
,240,72696,59228104777.709236145019531,28,547,519,246.871368438428533,87.984164904794056,17946561.000000000000000,515,288,29,242
,241,24832,20231543659.074443817138672,-22,2294,2316,667.950346327319608,411.618604187402411,16586543.000000000000000,1845,605,-22,609
,242,78446,63912841248.379264831542969,-7,3970,3977,1173.945962827932590,665.536069550120828,92091365.000000000000000,3455,1247,-7,1138
,243,27947,22769448721.011337280273438,224,1427,1203,459.338640999033885,119.711041078306579,12837137.000000000000000,905,497,627,471
,244,85425,69598889218.606414794921875,-3,1223,1226,323.304770266315472,171.035182996724529,27618310.000000000000000,1133,164,-3,284
,245,4895,3988136525.900829792022705,583,1356,773,967.027170582226745,167.744594871315826,4733598.000000000000000,711,879,583,963
,246,12100,9858315007.844747543334961,491,3272,2781,1409.037520661157032,465.969682886193084,17049354.000000000000000,2044,1009,491,1358
,247,8890,7243009952.044611930847168,216,1662,1446,714.259392575928018,367.690512412227292,6349766.000000000000000,1361,458,216,594
,248,3503,2854022931.609930038452148,659,1620,961,1041.706537253782471,134.343325564365330,3649098.000000000000000,638,1047,659,1043
,249,18175,14807840931.204816818237305,8,417,409,230.965942228335621,80.303676694701664,4197806.000000000000000,408,211,8,227
,250,834,679490472.441530585289001,-1,24,25,12.064748201438849,5.148688873766959,10062.000000000000000,26,14,24,13
,251,77945,63504658122.847839355468750,178,594,416,312.667829880043598,85.444045302091070,24370894.000000000000000,389,245,550,294
,252,12824,10448184434.760417938232422,394,530,136,450.340299438552734,25.627260232698749,5775164.000000000000000,137,461,395,450
,253,335,272936820.465123176574707,177,290,113,233.023880597014937,24.135303241370359,78063.000000000000000,97,249,178,236
,254,912,743039941.087141275405884,371,424,53,398.591008771929808,10.129774500871948,363515.000000000000000,54,393,419,397
,255,61677,50250520226.350456237792969,282,439,157,322.796293594046404,16.947271866460760,19909107.000000000000000,149,321,415,322
,256,17515,14270114658.049650192260742,305,504,199,363.379046531544418,30.349132689186369,6364584.000000000000000,188,339,305,354
,257,9157,7460544671.639203071594238,311,455,144,350.193294747187963,21.491019400012998,3206720.000000000000000,138,338,434,343
,258,2426,1976551422.233996629714966,320,464,144,378.546990931574612,25.643017808728128,918355.000000000000000,136,356,320,374
,259,27083,22065516145.244571685791016,125,889,764,522.611342908835809,140.057832063218058,14153883.000000000000000,737,573,125,546
,260,17678,14402916752.783426284790039,360,872,512,526.842798959158245,72.850088746567934,9313527.000000000000000,449,511,361,520
,261,6,4888420.665046982467175,297,301,4,299.000000000000000,1.732050807568877,1794.000000000000000,4,297,298,298
,262,3940,3210062903.380851745605469,478,852,374,525.719035532994894,35.642172492477613,2071333.000000000000000,195,515,480,517
,263,6025,4908789084.484678268432617,307,399,92,335.278838174273858,11.702775156688594,2020055.000000000000000,90,333,380,334
,264,31,25256840.102742742747068,335,516,181,431.516129032258050,54.174074842267650,13377.000000000000000,30,478,335,432
,265,55061,44860221706.358650207519531,318,818,500,454.444543324676260,77.973228113080552,25022171.000000000000000,490,418,747,442
,266,21014,17120878642.549549102783203,59,702,643,293.865042352717239,145.330591858223812,6175280.000000000000000,587,132,60,267
,267,4324,3522921825.943858623504639,132,606,474,211.831174838112872,53.396538061686442,915958.000000000000000,264,163,132,195
,268,476,387814706.093727290630341,301,333,32,322.894957983193251,7.094907023387933,153698.000000000000000,31,328,333,326
,269,14757,12023070625.683053970336914,353,659,306,475.032323643016866,65.226764739301444,7010052.000000000000000,302,379,354,474
,270,36615,29831587108.449211120605469,306,666,360,387.166052164413486,55.151021143943794,14176085.000000000000000,357,332,587,376
,271,18565,15125588274.432870864868164,124,787,663,397.657796929706421,124.068878940125160,7382517.000000000000000,609,450,124,417
,272,104227,84917570109.308639526367188,215,859,644,513.490966832010940,128.192127254631146,53519623.000000000000000,631,382,215,513
,273,13274,10814815984.638940811157227,-2,732,734,108.867711315353318,105.326116927934365,1445110.000000000000000,543,7,276,70
,274,9349,7616974132.920706748962402,72,792,720,313.949406353620702,120.357609315496774,2935113.000000000000000,639,353,72,313
,275,8412,6853565772.395869255065918,603,857,254,661.368402282453644,24.073224307220173,5563431.000000000000000,147,661,603,660
,276,1228,1000496762.779615759849548,588,1941,1353,1414.282573289902302,319.962005260493584,1736739.000000000000000,647,1641,588,1526
,277,7228,5888917427.826598167419434,662,4527,3865,1054.668234643054802,453.030476848225589,7623142.000000000000000,1051,1041,662,973
,278,15211,12392961122.671607971191406,927,1723,796,1116.796200118335491,103.812217704035362,16987587.000000000000000,665,1161,933,1108
,279,112542,91692106414.286254882812500,405,904,499,634.445700271898545,73.607442820382431,71401788.000000000000000,455,611,803,632
,280,3064,2496353486.283992290496826,735,880,145,788.791775456919027,27.303410497319572,2416858.000000000000000,140,772,859,786
,281,43615,35534744551.004020690917969,372,705,333,534.545408689671035,74.979180543876737,23314198.000000000000000,326,465,372,519
,282,37,30145260.767789725214243,341,384,43,359.702702702702709,10.849996549669029,13309.000000000000000,25,357,341,358
,283,9359,7625121500.695784568786621,672,1322,650,772.646650283149938,59.497452379674201,7231200.000000000000000,315,713,918,761
,284,2070,1686505129.441208839416504,283,363,80,309.823671497584542,16.123086938108930,641335.000000000000000,73,289,284,307
,285,8378,6825864721.960602760314941,344,552,208,409.149319646693698,35.707623832341113,3427853.000000000000000,198,387,344,403
,286,2168,1766349333.636976242065430,347,578,231,408.290590405904084,42.919639403364982,885174.000000000000000,200,378,476,397
,287,13176,10734971780.443174362182617,779,3417,2638,1783.275804493017631,544.095391229906795,23496442.000000000000000,2240,1458,780,1713
,288,13351,10877550716.507043838500977,388,603,215,488.909370084637828,45.832400858475459,6527429.000000000000000,214,444,389,486
,289,19033,15506885086.306535720825195,369,597,228,481.325434771186906,49.597150970458138,9161067.000000000000000,223,432,369,479
,290,2939,2394511389.095513343811035,309,437,128,347.031303164341637,19.344630773018579,1019925.000000000000000,120,343,309,343
,291,30424,24787551718.898231506347656,630,1603,973,899.896529056008376,121.673353231990248,27378452.000000000000000,847,883,633,881
,292,32683,26628042099.288421630859375,330,535,205,404.492580240491975,31.171485438995848,13220031.000000000000000,190,407,330,404
,293,36136,29441328192.022960662841797,356,580,224,463.775708434801857,48.310765028346346,16758999.000000000000000,225,425,356,459
,294,9875,8045525677.889824867248535,555,1052,497,810.142683544303850,69.732616242246166,8000159.000000000000000,443,820,555,814
,295,11420,9304293999.139423370361328,371,749,378,581.719614711033273,102.951886389881537,6643238.000000000000000,377,704,371,582
,296,7664,6244142662.820012092590332,352,544,192,426.914796450939434,48.839172715182791,3271875.000000000000000,193,366,352,417
,297,96529,78645726396.053359985351563,531,2615,2084,867.185094634773009,294.281818755643712,83708510.000000000000000,1886,689,1627,772
,298,55669,45355581667.083412170410156,319,645,326,401.718838132533392,50.447533371626371,22363286.000000000000000,326,371,645,389
,300,52599,42854339760.134368896484375,466,1171,705,917.015703720603028,166.105434245866292,48234109.000000000000000,688,1034,466,981
,301,14028,11429127514.879844665527344,326,668,342,427.661106358711152,54.081525878773704,5999230.000000000000000,302,407,584,419
,302,84808,69096196626.884078979492188,281,513,232,337.897403546835221,33.798703414033703,28656403.000000000000000,232,321,507,327
,303,2,1629473.555015660822392,1021,1053,32,1037.000000000000000,16.000000000000000,2074.000000000000000,2,1021,1021,1021
,304,2186,1781014595.632117271423340,440,834,394,694.220951509606607,56.522600231062469,1517567.000000000000000,280,700,440,698
,305,10375,8452894066.643740653991699,362,665,303,469.652144578313255,80.957687946046633,4872641.000000000000000,292,386,362,439
,306,9731,7928203581.928697586059570,738,1943,1205,1230.353714931661671,241.371993118694064,11972572.000000000000000,1074,1253,738,1253
,307,22567,18386164858.019207000732422,688,3259,2571,1387.646342003810787,422.983760021971136,31315015.000000000000000,1872,1001,692,1354
,308,22783,18562148001.960899353027344,1012,1701,689,1385.251503313874309,121.208829825948882,31560185.000000000000000,681,1421,1014,1406
,309,9733,7929833055.483713150024414,559,769,210,647.873831295592367,38.301843827775350,6305756.000000000000000,206,650,560,645
,310,51295,41791923002.264160156250000,371,702,331,478.329096403158189,45.990222078475995,24535891.000000000000000,311,478,371,475
,311,3988,3249170268.701227664947510,411,845,434,602.016298896690046,126.371965269045447,2400841.000000000000000,427,470,415,612
,312,34583,28176041976.553298950195313,0,963,963,563.170632969956387,179.472498780265113,19476130.000000000000000,893,588,4,569
,313,19322,15742344015.006299972534180,851,3181,2330,1361.582030845668214,435.441853081945794,26308488.000000000000000,1770,913,851,1172
,314,38067,31014584909.390579223632813,364,751,387,515.315233666955578,51.210717211920787,19616505.000000000000000,338,515,364,516
,315,74658,60826618335.179603576660156,389,1319,930,633.782474751533641,128.109898203483652,47316932.000000000000000,780,513,394,613
,316,7816,6367982653.001202583312988,446,930,484,800.889073694984631,73.515484504881258,6259749.000000000000000,441,844,446,815
,317,57657,46975278380.768974304199219,323,636,313,432.591133773869615,51.857025295593679,24941907.000000000000000,307,434,606,430
,318,2917,2376587179.990341186523438,1164,1486,322,1286.717175179979449,81.472676023757458,3753354.000000000000000,315,1185,1400,1290
,319,43740,35636586648.192504882812500,951,1704,753,1262.710631001371667,93.470406699614941,55230963.000000000000000,607,1225,951,1248
,320,21167,17245533369.508247375488281,336,756,420,523.483063258846300,72.054871165948114,11080566.000000000000000,394,535,336,519
,321,9924,8085447779.987709045410156,595,2274,1679,1523.154574768238717,315.143675749016893,15115786.000000000000000,1414,1614,595,1589
,322,23124,18839973243.091072082519531,409,560,151,478.973274519979270,23.894898200074344,11075778.000000000000000,149,492,409,479
,323,15076,12282971657.708051681518555,783,1394,611,973.955094189440160,91.791721438371994,14683347.000000000000000,484,925,784,959
,324,4872,3969397580.018149852752686,516,1043,527,715.261494252873604,86.172797313200775,3484754.000000000000000,325,770,516,757
,325,18911,15407487199.450580596923828,729,1367,638,937.691608058801762,130.228924232656198,17732686.000000000000000,615,786,729,916
,326,11485,9357251889.677433013916016,365,572,207,444.525468001741388,35.513735471022393,5105375.000000000000000,196,434,366,441
,327,627,510839959.497409641742706,924,1102,178,982.001594896331767,52.165712498294347,615715.000000000000000,150,928,942,967
,328,237331,193362294142.710906982421875,546,1907,1361,933.569108123254068,250.036637545886407,221564890.000000000000000,1340,568,546,920
,329,4355,3548178666.046601295471191,993,1515,522,1208.409414466130784,75.345716806623585,5262623.000000000000000,422,1213,993,1210
,330,56956,46404147899.735992431640625,409,929,520,632.489992274738370,80.308292580192585,36024100.000000000000000,492,611,409,624
,331,44080,35913597152.545166015625000,745,1120,375,988.042286751361189,83.220656985124762,43552904.000000000000000,368,1084,745,990
,332,1066,868509404.823347210884094,1030,1221,191,1175.460600375234435,34.037459295412525,1253041.000000000000000,135,1196,1030,1185
,333,18848,15356158782.467588424682617,737,1134,397,962.397548811544993,65.470225223767102,18139269.000000000000000,362,948,737,959
,334,15048,12260159027.937831878662109,499,766,267,653.151847421584307,38.488390397851717,9828629.000000000000000,256,643,499,655
,335,14022,11424239094.214797973632813,761,1331,570,978.274711168164345,127.336372783785890,13717368.000000000000000,541,844,762,952
,336,7701,6274287923.587801933288574,650,788,138,710.602129593559312,24.386743822408548,5472347.000000000000000,137,721,650,714
,337,4767,3883850218.379827499389648,714,868,154,781.428151877491132,23.872103198102774,3725068.000000000000000,131,789,714,786
,338,7296,5944319528.697130203247070,400,555,155,465.203947368421041,19.265062055369789,3394128.000000000000000,135,479,403,466
,339,30045,24478766480.222763061523438,539,1018,479,811.763121983691121,74.943498579504592,24389423.000000000000000,475,821,540,815
,340,24291,19790771062.442707061767578,334,841,507,493.370466427895110,114.577947326027484,11984462.000000000000000,501,419,334,454
,341,48706,39682569485.296386718750000,323,591,268,403.542212458423990,46.948336941183101,19654927.000000000000000,269,381,323,394
,342,6440,5246904847.150427818298340,656,883,227,728.893788819875795,20.263985093164081,4694076.000000000000000,130,735,656,730
,343,684,557279955.815356016159058,809,965,156,870.785087719298190,29.848726987430485,595617.000000000000000,131,860,809,867
,344,14216,11582298029.051317214965820,420,673,253,473.918190770962269,23.866076493504107,6737221.000000000000000,216,476,422,473
,345,52159,42495855578.030929565429688,326,528,202,394.245652715734593,36.267760299728288,20563459.000000000000000,197,364,326,388
,346,2685,2187568247.608524799346924,751,999,248,845.302048417132255,37.479409809618978,2269636.000000000000000,205,837,755,844
,347,35123,28615999836.407527923583984,454,980,526,599.159952168094947,91.889663808596652,21044295.000000000000000,502,520,454,578
,348,50297,40978815698.311347961425781,871,1622,751,1171.969680100204869,144.177523818722875,58946559.000000000000000,687,1118,871,1140
,349,1021,831846249.835494875907898,609,737,128,663.508325171400543,20.479969890959978,677442.000000000000000,101,665,609,663
,350,28276,23037497120.811412811279297,321,519,198,389.393195642948058,40.318271758448773,11010482.000000000000000,197,353,321,379
,351,63587,51806667471.390411376953125,295,462,167,336.962224983094018,16.623727923480786,21426417.000000000000000,162,331,441,335
,352,66241,53968978878.896194458007813,368,595,227,458.505351670415621,40.303661300767189,30371853.000000000000000,226,447,368,455
,353,15676,12771813724.212749481201172,326,491,165,385.612145955600909,25.731001740848242,6044856.000000000000000,162,399,326,386
,354,33602,27376785197.818119049072266,354,623,269,468.973007559073892,51.253264333800381,15758431.000000000000000,261,443,358,464
,355,3022,2462134541.628663539886475,698,975,277,796.447054930509580,29.657838236983274,2406863.000000000000000,177,794,698,799
,356,39942,32542216367.217761993408203,294,393,99,344.657728706624596,15.618447499256638,13766319.000000000000000,99,342,295,343
,357,1926,1569183033.480081319808960,428,610,182,527.141744548286624,22.965348222290860,1015275.000000000000000,136,531,428,530
,358,5198,4235001769.485702514648438,1007,1698,691,1284.936514043863099,141.290632777493357,6679100.000000000000000,594,1205,1007,1267
,359,31,25256840.102742742747068,604,839,235,656.354838709677438,68.690304704942335,20347.000000000000000,24,617,604,621
,360,22473,18309579600.933471679687500,400,917,517,672.445779379700070,107.443787205158756,15111874.000000000000000,499,752,400,664
,361,6645,5413925886.539532661437988,433,672,239,527.473589164785608,55.409909139385384,3505062.000000000000000,239,510,433,514
,362,12414,10114142355.982206344604492,326,519,193,379.785645239246037,34.043363350370733,4714659.000000000000000,188,349,329,371
,363,76786,62560378197.716262817382813,501,3232,2731,1016.496887453442014,482.248489125065817,78052730.000000000000000,2525,608,501,854
,364,1511,1231067270.814331769943237,1180,4049,2869,1832.839841164791551,469.356328213005895,2769421.000000000000000,828,1395,1180,1713
,365,12882,10495439167.855871200561523,470,820,350,637.301738860425417,74.846094813231829,8209721.000000000000000,326,620,470,640
,366,17,13850525.217633116990328,779,794,15,781.176470588235247,3.501853192031366,13280.000000000000000,7,780,782,780
,367,11521,9386582413.667715072631836,408,1019,611,799.527992361774182,112.184398318016605,9211362.000000000000000,585,823,411,818
,368,43419,35375056142.612487792968750,208,466,258,335.358944241000472,29.591947960460644,14560950.000000000000000,191,315,208,332
,369,23029,18762573249.227825164794922,890,1783,893,1202.650353901602330,281.735290669879930,27695835.000000000000000,882,924,890,1074
,370,19245,15679609283.138196945190430,384,687,303,502.838191738113778,49.522816295165789,9677121.000000000000000,297,502,648,501
,371,8778,7151759432.963735580444336,356,496,140,402.439849624060173,19.810076641600496,3532617.000000000000000,139,403,491,401
,372,89025,72531941617.634597778320313,413,1075,662,657.639629317607387,89.564094895772513,58546368.000000000000000,597,632,413,645
,373,45043,36698188669.285202026367188,433,1083,650,531.972759363275145,48.232690320953793,23961649.000000000000000,429,508,433,520
,374,11633,9477832932.748590469360352,43,779,736,408.462219547838060,144.336815984376585,4751641.000000000000000,664,296,43,402
,375,32202,26236153709.307155609130859,712,2462,1750,1383.872181852058930,338.508843496058091,44563452.000000000000000,1645,925,712,1354
,376,48497,39512289498.797248840332031,232,800,568,468.206136462049187,130.972983286421368,22706593.000000000000000,534,289,236,449
,377,101098,82368258732.486633300781250,398,709,311,533.486488357831036,44.304307349478485,53934417.000000000000000,303,515,398,530
,378,10935,8909146662.048126220703125,369,550,181,425.829538180155453,19.799346123541316,4656446.000000000000000,130,433,369,427
,379,1166,949983082.574130296707153,609,1689,1080,820.079759862778701,263.717700146923960,956213.000000000000000,434,622,609,670
,380,6010,4896568032.822060585021973,-2,268,270,86.912645590682203,54.374481295263585,522345.000000000000000,241,4,-2,86
,381,57113,46532061573.804718017578125,347,1126,779,680.569012308931406,153.648507942970639,38869338.000000000000000,758,725,1057,703
,382,3860,3144883961.180225372314453,379,612,233,439.616839378238353,31.887375908689624,1696921.000000000000000,194,434,379,434
,383,18480,15056335648.344705581665039,297,670,373,386.245183982683955,54.155654926999404,7137811.000000000000000,331,344,546,376
,384,13989,11397352780.557039260864258,867,1739,872,1127.608120666237710,249.699401770148853,15774110.000000000000000,865,877,867,1056
,385,11585,9438725567.428215026855469,8,817,809,323.869400086318535,135.625558248679340,3752027.000000000000000,720,375,8,314
,386,69347,56499551309.835517883300781,998,1367,369,1123.088626761071055,34.588864782749120,77882827.000000000000000,287,1100,998,1113
,387,264921,215840881834.151947021484375,3,2343,2340,1086.496389489696867,318.914644760367594,287835710.000000000000000,2001,1001,1910,1082
,388,60635,49401564504.187294006347656,-3,1767,1770,605.634254143646444,394.341113830565519,36722633.000000000000000,1712,3,-3,548
,389,36990,30137113400.014648437500000,412,2190,1778,1047.708164368748385,253.150768865284419,38754725.000000000000000,1407,926,412,1004
,390,74411,60625378351.135169982910156,1092,1791,699,1279.325449194339626,135.573447034755759,95195886.000000000000000,578,1145,1092,1228
,391,298576,243260848081.177978515625000,-14,2435,2449,1099.111693505171161,458.986586542893576,328168373.000000000000000,2203,1086,-14,1234
,392,2499,2036027206.992068290710449,937,959,22,949.172068827531007,4.490620272280424,2371981.000000000000000,23,948,938,949
,393,106986,87165428878.452743530273438,1007,1538,531,1217.243844989063973,98.161971974719336,130228050.000000000000000,526,1207,1007,1199
,394,10378,8455338276.976263999938965,1041,1166,125,1122.955193678936212,26.412602483690641,11654029.000000000000000,126,1152,1041,1130
,395,8031,6543151060.165386199951172,997,1098,101,1057.599302702029718,25.853635699957735,8493580.000000000000000,102,1086,1098,1063
,396,3341,2722035573.653661251068115,1177,1335,158,1258.225680933852118,31.111312240873886,4203732.000000000000000,150,1278,1177,1265
,397,6847,5578502715.596115112304688,951,1029,78,991.414342047612081,17.032171345959977,6788214.000000000000000,79,1002,1028,993
,398,56509,46039960560.189987182617188,818,1493,675,1146.951742200357558,131.308532975865603,64813096.000000000000000,660,1281,818,1142
,399,9482,7725334124.329248428344727,926,1028,102,948.124446319341928,24.218720442755192,8990116.000000000000000,103,933,1028,939
,400,57814,47103192054.837707519531250,0,1544,1544,629.594371605493507,314.936337886418471,36399369.000000000000000,1343,984,0,688
,401,212830,173400428356.991546630859375,-5,2183,2188,559.464478691913769,366.638847800185090,119070825.000000000000000,1980,170,-5,541
,402,267,217534719.594590723514557,209,372,163,269.891385767790268,37.432578601751054,72061.000000000000000,120,228,210,271
,403,44267,36065952929.939125061035156,957,1821,864,1371.777486615311545,184.015449461153821,60724474.000000000000000,798,1488,957,1434
,404,8012,6527671061.392737388610840,968,1170,202,1039.019970044932506,32.411284509472281,8324628.000000000000000,187,1021,968,1035
,405,36340,29607534494.634555816650391,799,2014,1215,1068.915960374243241,148.780268454237557,38844406.000000000000000,919,1055,799,1043
,406,40720,33176081580.118854522705078,958,1783,825,1241.390152259332126,146.257913715588415,50549407.000000000000000,788,1164,959,1215
,407,17635,14367883071.350589752197266,848,1829,981,1189.849560533030854,191.329568823277242,20982997.000000000000000,898,1077,848,1160
,408,18460,15040040912.794549942016602,278,2010,1732,758.515926327193938,328.607582618162837,14002204.000000000000000,1449,479,281,632
,409,17321,14112055723.213130950927734,1060,1798,738,1450.685988106922196,167.092323024362912,25127332.000000000000000,723,1573,1060,1490
,410,14117,11501639088.078041076660156,2,1553,1551,591.213926471629975,291.907652091274883,8346167.000000000000000,1227,795,2,606
,411,2841,2314667184.899746417999268,1013,1502,489,1186.345300950369619,124.294302593003607,3370407.000000000000000,423,1093,1013,1131
,412,7104,5787890067.415627479553223,734,1148,414,851.345720720720692,40.377534418806007,6047960.000000000000000,236,845,734,848
,413,9219,7511058351.844688415527344,1,702,701,105.823082763857258,115.633059701501438,975583.000000000000000,608,77,1,74
,414,64265,52359059006.540718078613281,753,1593,840,936.400404574807453,79.118872477413930,60177772.000000000000000,539,927,753,928
,415,81821,66662577872.468193054199219,341,2282,1941,1427.186345803644599,339.046182262200318,116773814.000000000000000,1860,1610,341,1557
,416,84468,68819186122.531417846679688,1060,1639,579,1310.974913576739027,98.769940320806199,110735429.000000000000000,558,1376,1060,1314
,417,109235,88997771891.067855834960938,1156,3212,2056,1562.076358310065416,219.258812252873696,170633411.000000000000000,1717,1533,1156,1539
,418,15924,12973868445.034690856933594,138,1756,1618,847.520095453403655,424.819431813578149,13495910.000000000000000,1550,141,149,864
,419,34590,28181745133.995853424072266,933,1797,864,1113.848540040474063,129.172107468389669,38528021.000000000000000,793,1063,934,1081
,420,33182,27034595751.264827728271484,485,2026,1541,1001.327044783316296,237.870110116134157,33226034.000000000000000,1317,952,485,969
,421,25862,21070722539.907508850097656,9,2625,2616,1051.708375222333871,366.970573122178337,27199282.000000000000000,2066,1350,10,1046
,422,28121,22911212920.297698974609375,80,766,686,350.002204758010009,79.385478006951189,9842412.000000000000000,451,385,80,355
,423,31864,25960772678.509510040283203,1032,1831,799,1304.760325131810305,113.947313658889883,41574883.000000000000000,604,1279,1032,1298
,424,22984,18725910094.239974975585938,256,1624,1368,703.546467107553099,231.101209211322157,16170312.000000000000000,1264,549,256,655
,425,350818,285824326811.742065429687500,238,2651,2413,1157.679058657195355,284.185931902083667,406134652.000000000000000,2196,932,241,1142
,426,18159,14794805142.764692306518555,-1,1829,1830,498.164105952970999,314.639190673253950,9046162.000000000000000,1474,101,0,463
,427,107686,87735744622.708221435546875,-8,3356,3364,957.475707148561582,537.868306431697874,103106729.000000000000000,2859,4,-8,1042
,428,33,26886313.657758403569460,-7,302,309,108.515151515151516,86.108149479565668,3581.000000000000000,31,-4,-7,94
,430,18,14665261.995140947401524,-45,125,170,41.166666666666664,38.926212248303841,741.000000000000000,16,36,-45,36
,431,116302,94755516697.715698242187500,366,1408,1042,712.082320166463205,146.031229054670263,82816598.000000000000000,936,594,366,693
,432,148607,121075588295.106155395507813,448,1609,1161,599.049291083192543,76.558723547679790,89022918.000000000000000,667,558,448,581
,433,21607,17604017551.611690521240234,-4,865,869,328.319618642106718,201.630840452126563,7094002.000000000000000,860,0,-4,315
,434,176363,143689422291.613494873046875,285,953,668,515.831710732976831,79.196362978058119,90973628.000000000000000,653,466,310,498
,435,3057,2490650328.841437339782715,278,465,187,342.928688256460589,31.060897343994345,1048333.000000000000000,171,292,284,341
,436,18810,15325198784.922290802001953,11,162,151,77.623498139287619,35.490010735119029,1460098.000000000000000,151,49,11,77
,437,66966,54559663042.589370727539063,56,823,767,385.095212495893463,133.286670312780728,25788286.000000000000000,753,511,56,379
,438,122280,99626013153.657501220703125,225,676,451,417.181640497219519,90.335884905136211,51012971.000000000000000,447,430,225,423
,439,16743,13641137865.813604354858398,133,797,664,526.762885982201510,151.475890062095033,8819591.000000000000000,651,635,137,589
,440,294899,240265060950.281677246093750,97,1030,933,535.911020383249820,107.608948897747766,158039624.000000000000000,844,631,97,552
,441,1198,976054659.454380869865417,139,195,56,175.904006677796332,9.104566025396668,210733.000000000000000,56,174,141,176
,442,235329,191731191114.140228271484375,-53,644,697,107.774332955139400,76.189838336062593,25362426.000000000000000,688,87,541,98
,443,84337,68712455604.677894592285156,-11,448,459,168.518230432668929,90.606448911643511,14212322.000000000000000,438,163,409,164
,444,1805,1470599883.401633977890015,-8,111,119,66.919113573407202,28.087636800601484,120789.000000000000000,114,69,-1,72
,445,259515,211436414814.944610595703125,389,2171,1782,622.384139645107211,166.544452423783468,161518020.000000000000000,1651,570,389,593
,446,42564,34678456197.843292236328125,-11,863,874,145.276219340287554,139.758303716088193,6183537.000000000000000,832,0,-10,110
,447,381639,310935329031.310913085937500,45,1019,974,279.784036746768550,139.586403778376138,106776500.000000000000000,939,219,45,246
,448,35622,29022553488.383934020996094,-8,647,655,235.538347088877657,127.039420892362799,8390347.000000000000000,620,234,-8,238
,449,17346,14132424142.650825500488281,10,325,315,130.027441485068607,89.949490335358476,2255456.000000000000000,314,35,11,116
,450,3262,2657671368.230542659759521,276,380,104,320.477927651747393,17.942461264969122,1045399.000000000000000,96,307,365,320
,451,4294,3498479722.618623733520508,140,1102,962,396.556823474615726,155.561564899347530,1702815.000000000000000,688,219,142,381
,452,41564,33863719420.335464477539063,-1,1458,1459,429.654604946588393,303.879167109196317,17858164.000000000000000,1291,115,1095,385
,453,536,436698912.744197130203247,-6,45,51,15.167910447761194,10.758447571152361,8130.000000000000000,48,6,-6,13
,454,16624,13544184189.290172576904297,-27,828,855,61.871631376323386,96.439723098790239,1028554.000000000000000,613,16,245,24
,455,2660,2167199828.170828819274902,85,399,314,165.491353383458659,55.809116137357123,440207.000000000000000,260,88,271,155
,456,634,516543116.939964473247528,242,563,321,416.944794952681377,67.968807419696262,264343.000000000000000,254,369,242,415
,457,10916,8893666663.275476455688477,247,479,232,338.207127152803253,36.623432455580186,3691869.000000000000000,224,358,247,338
,458,13303,10838443351.186668395996094,-16,983,999,82.913327820792304,87.384801398876647,1102996.000000000000000,546,30,-16,61
,459,29747,24235974920.525432586669922,-7,1197,1204,294.682320906309883,232.260417927212529,8765915.000000000000000,1049,6,-7,236
,460,14724,11996184312.025295257568359,-6,588,594,167.986688399891335,129.471420170851644,2473436.000000000000000,580,113,524,141
,461,40942,33356953144.725593566894531,928,1574,646,1222.866567339162657,96.451192047069014,50066603.000000000000000,555,1166,928,1202
,462,61448,50063945504.301162719726563,704,1797,1093,1324.269219502668875,106.198977448873094,81373695.000000000000000,703,1220,704,1304
,463,46421,37820895948.690994262695313,511,1689,1178,993.481506214859678,325.717831170125294,46118405.000000000000000,1137,1181,1634,1166
,464,15540,12661009522.471685409545898,578,1420,842,962.459909909909925,164.787870352093961,14956627.000000000000000,706,1021,578,1003
,465,35600,29004629279.278762817382813,976,1310,334,1047.277022471910186,66.680650547414317,37283062.000000000000000,334,980,1293,1030
,466,10575,8615841422.145307540893555,757,1712,955,1265.726241134751717,156.613520023631906,13385055.000000000000000,870,1237,757,1264
,467,84278,68664386134.804931640625000,1036,1547,511,1216.655319300410611,79.049795822850655,102537277.000000000000000,474,1194,1036,1202
