Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,356,54,926958.457721602520905
,0,357,54,1357541.618479214608669
,0,358,54,1192605.970746765844524
,0,359,54,1096393.145486219786108
,0,360,54,676262.343755138805136
,0,361,54,1557777.385858173947781
,0,362,54,1257128.316802856279537
,0,363,54,1199200.489812383195385
,0,364,54,1085763.569224292412400
,0,365,54,1405082.402103214757517
,0,366,54,1040963.170876186457463
,0,367,54,478622.528491855773609
,0,368,54,595406.694205765030347
,0,369,54,1155994.042379176244140
,0,370,54,1015539.457080790889449
,0,371,54,1390508.584404228720814
,0,372,54,1266212.327353710774332
,0,373,54,1364915.105931494152173
,0,374,54,138714.975452788406983
,0,375,54,988715.208245442598127
,0,376,54,421861.395095541665796
,0,377,54,1194332.662103296723217
,0,378,54,1336809.136530726216733
,0,379,54,1132867.383460055571049
,0,380,54,33331.756261393013119
,0,381,54,419846.081613832036965
,0,382,54,1251942.968465792248026
,0,383,54,555499.589295865618624
,0,384,54,1246397.868867284851149
,0,385,54,73675.277116190452944
,0,386,54,355097.742483267385978
,0,387,54,262799.523904669273179
,0,388,54,59578.283020347349520
,0,389,54,122899.919323288573651
,0,390,54,508033.070875523379073
,0,391,54,209965.080802301643416
,0,392,54,1061129.404468015301973
,0,393,54,622359.615843367995694
,0,394,54,670176.300373131991364
,0,395,54,855090.822415035218000
,0,396,54,591376.559096102486365
,0,397,54,1012801.888226634473540
,0,398,54,473640.629068296984769
,0,399,54,1079874.463717610575259
,0,400,54,107959.727540576379397
,0,401,54,105606.383743809317821
,0,402,54,390862.397734108788427
,0,403,54,567726.879333168966696
,0,404,54,758021.879441830213182
,0,405,54,544689.352653805864975
,0,406,54,548764.881448516855016
,0,407,54,447598.800946357834619
,0,408,54,269718.322104002465494
,0,409,54,436307.326503412157763
,0,410,54,33858.608054436757811
,0,411,54,723641.906416941783391
,0,412,54,567960.229443228687160
,0,413,54,37349.366560249793110
,0,414,54,473947.262827332189772
,0,415,54,284056.872876775916666
,0,416,54,637863.169575126259588
,0,417,54,363406.699647239933256
,0,418,54,154613.734305783727905
,0,419,54,659043.787729704985395
,0,420,54,448161.724021614296362
,0,421,54,103996.006597638363019
,0,422,54,231383.898171788809123
,0,423,54,641296.103384491871111
,0,424,54,408392.161843983689323
,0,425,54,335000.024412384082098
,0,426,54,41330.516075255218311
,0,427,54,91726.309348986949772
,0,428,54,1661.136853405698730
,0,429,45,18433.162515801017435
,0,430,54,1418.626547069438857
,0,431,54,740618.336225289385766
,0,432,54,1018080.766524744336493
,0,433,54,41438.345805526303593
,0,434,54,531178.796447261585854
,0,435,54,342031.050338420434855
,0,436,54,222802.624617637251504
,0,437,54,242616.225469520344632
,0,438,54,696113.561395143857226
,0,439,54,131154.304283894249238
,0,440,54,352660.745075724786147
,0,441,54,90998.795194477541372
,0,442,54,193013.001891353982501
,0,443,54,76605.642533040270791
,0,444,54,232191.240104595577577
,0,445,54,725855.053803407005034
