Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
,0,76,54,149943.047019006160554
,0,77,54,242245.670570830174256
,0,78,54,553322.780121886287816
,0,79,54,434610.175882929645013
,0,80,54,234937.279128581023542
,0,81,54,619272.439812426804565
,0,82,54,127259.519038461789023
,0,83,54,427627.977793102152646
,0,84,27,393805.352453657833394
,0,85,27,459219.795182591129560
,0,86,54,592561.240630210959353
,0,87,54,358445.991134295763914
,0,88,54,362258.110779167269357
,0,89,54,295294.615234125405550
,0,90,30,481288.534695609938353
,0,91,30,367963.902295997948386
,0,92,45,488164.231435366382357
,0,93,30,341762.724058853345923
,0,94,30,299868.517667383013759
,0,95,29,713072.660141646279953
,0,96,30,425085.607709593023174
,0,97,30,177255.260078880557558
,0,98,30,325681.928127896215301
,0,99,45,461486.943148490623571
,0,100,45,502345.357234876428265
,0,101,45,410981.655549980583601
,0,102,45,435021.152709938585758
,0,103,45,238991.704856843571179
,0,104,54,272317.702741368673742
,0,105,43,310994.798099904262926
,0,106,45,177291.797742393944645
,0,107,43,353298.186991395661607
,0,108,26,214847.554921457252931
,0,109,45,368067.541156096558552
,0,110,45,218363.469908293074695
,0,111,54,326548.885764933482278
,0,112,45,147112.641516300674994
,0,113,26,349421.832899032859132
,0,114,45,243885.715070825361181
,0,115,45,53930.723170396297064
,0,116,45,190620.419994993804721
,0,117,26,204268.693351166963112
,0,118,45,67393.568067465195782
,0,119,45,203747.338720694766380
,0,120,45,263696.728810921369586
,0,121,45,325561.737193032633513
,0,122,45,314990.671717512886971
,0,123,43,318505.187852170201950
,0,124,45,561167.822969274013303
,0,125,54,475993.353726556524634
,0,126,26,246429.946757892234018
,0,127,45,280382.765698944742326
,0,128,45,279604.173108933609910
,0,129,45,402222.210225554823410
,0,130,45,193730.347579528752249
,0,131,45,322827.621834187535569
,0,132,45,129308.918074804925709
,0,133,45,299729.182593777659349
,0,134,54,430960.709911909245420
,0,135,54,360369.068503477785271
,0,136,26,213920.526352694898378
,0,137,46,54295.655978439659521
,0,138,46,314960.549141397641506
,0,139,46,68148.524463933747029
,0,140,46,460274.506604530964978
,0,141,46,518332.049603802734055
,0,142,46,280111.468472959764767
,0,143,46,231999.549522789777257
,0,144,46,100220.476430711758439
,0,145,46,504374.349441276805010
,0,146,46,254686.288233707426116
,0,147,46,134397.344650078099221
,0,148,46,362559.331236909667496
,0,149,46,174772.279796080198139
,0,150,46,312020.070594970369712
,0,151,45,224320.522468649636721
,0,152,43,494012.540284463670105
,0,153,40,343321.975480865803547
,0,154,43,372500.281424722052179
,0,155,43,203044.400495247100480
,0,156,45,241728.688278254528996
,0,157,43,251003.578329079231480
,0,158,41,174192.667742895893753
,0,159,40,551449.135578265879303
,0,160,43,379362.056128037394956
,0,161,45,364018.269367498927750
,0,162,45,440382.619953580142464
,0,163,26,266313.012546729063615
,0,164,40,184040.049625924963038
,0,165,43,81663.230131834046915
,0,166,41,133954.583679221716011
,0,167,43,411119.425221284793224
,0,168,45,334827.559754417452496
,0,169,46,604571.004426117637195
,0,170,26,300322.079105437558610
,0,171,43,597037.867535431985743
,0,172,45,349090.524666571291164
,0,173,46,527351.929057984263636
,0,174,46,490672.138231441669632
,0,175,40,455905.945209849916864
,0,176,43,107165.572059886995703
,0,177,46,554897.009462391142733
,0,178,43,154024.568480866582831
,0,179,40,657067.023821058450267
,0,180,26,239048.507852216454921
,0,181,46,470729.745952519937418
,0,182,42,400329.213473040261306
,0,183,42,492479.751042838906869
,0,184,45,299554.930636560020503
,0,185,46,376831.978149666683748
,0,186,43,436041.471081641444471
,0,187,43,292155.838140452513471
,0,188,45,309503.624046526965685
,0,189,43,279618.884071586246137
,0,190,43,332965.276550874928944
,0,191,45,406896.269569326832425
,0,192,43,400382.695783072442282
,0,193,43,333858.663856587605551
,0,194,43,188254.752729254309088
,0,195,41,129772.997299210619531
,0,196,46,554671.376469518872909
,0,197,40,410632.211686559778173
,0,198,46,367676.098004658764694
,0,199,43,348559.329731685342267
,0,200,40,506508.189936557726469
,0,201,43,200471.190887861652300
,0,202,43,355549.028224362118635
,0,203,43,260923.750612181087490
,0,204,41,81848.800300668386626
